assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#CM094328.1:4253811	NA18565#1#CM094328.1	4253811	4255680	1869	1	1	+	0	flank+DJ	flank	48862786					
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000005.1:733622	NA18565#1#JBIRDX010000005.1	733622	779623	46001	2	1	+	0	flank+DJ	flank	103937749	1.0	44132.0	44132.0	44132.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000006.1:37982	NA18565#1#JBIRDX010000006.1	37982	39851	1869	1	0	+	0	contig_end	flank	39866205					
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000010.1:18758	NA18565#1#JBIRDX010000010.1	18758	445531	426773	11	10	+	0	contig_end	flank	94051216	10.0	44158.5	26440.0	44990.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000015.1:681696	NA18565#1#JBIRDX010000015.1	681696	774444	92748	3	3	+	0	flank+DJ	contig_end	795873	2.0	45439.5	45047.0	45832.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000018.1:14049	NA18565#1#JBIRDX010000018.1	14049	150358	136309	4	4	+	0	contig_end	contig_end	193219	3.0	44818.0	44797.0	44825.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000025.1:13232	NA18565#1#JBIRDX010000025.1	13232	104816	91584	3	3	+	0	contig_end	gap	577725	2.0	44857.5	44776.0	44939.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000025.1:459348	NA18565#1#JBIRDX010000025.1	459348	551711	92363	3	3	+	0	gap	contig_end	577725	2.0	45247.0	44845.0	45649.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000026.1:15661	NA18565#1#JBIRDX010000026.1	15661	190143	174482	5	5	+	0	contig_end	contig_end	204436	4.0	44066.5	40392.0	44088.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000027.1:7353	NA18565#1#JBIRDX010000027.1	7353	233802	226449	6	6	+	0	contig_end	contig_end	277903	5.0	44873.0	44800.0	45046.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000031.1:13257	NA18565#1#JBIRDX010000031.1	13257	141806	128549	4	4	+	0	contig_end	contig_end	167161	3.0	40482.0	40461.0	45737.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000034.1:42164	NA18565#1#JBIRDX010000034.1	42164	89779	47615	2	1	+	0	contig_end	contig_end	91477	1.0	45746.0	45746.0	45746.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000039.1:2638277	NA18565#1#JBIRDX010000039.1	2638277	2988013	349736	9	9	+	0	flank+DJ	contig_end	3021260	8.0	44423.5	40251.0	44779.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000049.1:38284	NA18565#1#JBIRDX010000049.1	38284	174363	136079	4	3	+	0	contig_end	flank	99874168	3.0	44748.0	44710.0	44752.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000055.1:8042	NA18565#1#JBIRDX010000055.1	8042	54719	46677	2	2	+	0	contig_end	contig_end	71190	1.0	44808.0	44808.0	44808.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000061.1:41841	NA18565#1#JBIRDX010000061.1	41841	158776	116935	4	4	+	0	contig_end	contig_end	176314	3.0	45572.0	23890.0	45604.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000062.1:23003	NA18565#1#JBIRDX010000062.1	23003	69915	46912	2	2	+	0	contig_end	contig_end	107573	1.0	45043.0	45043.0	45043.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000066.1:18969	NA18565#1#JBIRDX010000066.1	18969	20838	1869	1	1	+	0	contig_end	contig_end	61782					
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000067.1:33604	NA18565#1#JBIRDX010000067.1	33604	126645	93041	3	3	+	0	contig_end	contig_end	157368	2.0	45586.0	45585.0	45587.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000068.1:42933	NA18565#1#JBIRDX010000068.1	42933	312953	270020	7	7	+	0	contig_end	contig_end	338027	6.0	44977.5	44065.0	45008.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000069.1:7593	NA18565#1#JBIRDX010000069.1	7593	54500	46907	2	2	+	0	contig_end	contig_end	92623	1.0	45038.0	45038.0	45038.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000072.1:19719	NA18565#1#JBIRDX010000072.1	19719	61802	42083	2	1	+	0	contig_end	contig_end	62039	1.0	40229.0	40229.0	40229.0	0.0
NA18565_hap1_hprc_r2_v1.0.1	NA18565#1#JBIRDX010000080.1:19138	NA18565#1#JBIRDX010000080.1	19138	198726	179588	5	5	+	0	contig_end	contig_end	214244	4.0	44758.5	43290.0	44912.0	0.0
