assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000005.1:28958	HG00639#2#JBHIHF010000005.1	28958	430673	401715	10	9	+	0	contig_end	flank	97856283	9.0	44049.0	43383.0	46009.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000008.1:27841	HG00639#2#JBHIHF010000008.1	27841	574488	546647	13	12	+	0	contig_end	flank	95086986	12.0	44161.0	43355.0	53206.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000012.1:32540	HG00639#2#JBHIHF010000012.1	32540	169030	136490	4	3	+	0	contig_end	flank	45616208	3.0	44917.0	44765.0	44939.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000013.1:22089	HG00639#2#JBHIHF010000013.1	22089	247361	225272	6	5	+	0	contig_end	flank	39669796	5.0	44819.0	44112.0	45350.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000014.1:42019	HG00639#2#JBHIHF010000014.1	42019	88848	46829	2	1	+	0	contig_end	flank	6255279	1.0	44960.0	44960.0	44960.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000015.1:6599895	HG00639#2#JBHIHF010000015.1	6599895	6601764	1869	1	1	+	0	flank+DJ	contig_end	6632150					
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000016.1:616527	HG00639#2#JBHIHF010000016.1	616527	618396	1869	1	1	+	0	flank+DJ	contig_end	639200					
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000019.1:32702	HG00639#2#JBHIHF010000019.1	32702	488315	455613	11	10	+	0	contig_end	contig_end	495017	10.0	44202.0	43882.0	48394.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000020.1:41962	HG00639#2#JBHIHF010000020.1	41962	133788	91826	3	3	+	0	contig_end	contig_end	178165	2.0	44978.5	44973.0	44984.0	0.0
HG00639_mat_hprc_r2_v1.0.1	HG00639#2#JBHIHF010000024.1:28356	HG00639#2#JBHIHF010000024.1	28356	165120	136764	4	4	+	0	contig_end	contig_end	172388	3.0	44954.0	44948.0	44993.0	0.0
