assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#CM087276.1:5723232	HG03130#2#CM087276.1	5723232	6035376	312144	8	8	+	0	flank+DJ	gap	104284752	7.0	44328.0	44302.0	44356.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000001.1:34102	HG03130#2#JBHDWJ010000001.1	34102	257001	222899	6	6	+	0	contig_end	flank	96804931	5.0	44254.0	43553.0	44811.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000004.1:160008	HG03130#2#JBHDWJ010000004.1	160008	1406535	1246527	29	28	+	0	flank+DJ	flank	49141284	28.0	44315.5	43648.0	45493.0	2.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000013.1:8820	HG03130#2#JBHDWJ010000013.1	8820	143402	134582	4	3	+	0	contig_end	flank	40262474	3.0	44240.0	44223.0	44250.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000016.1:42816	HG03130#2#JBHDWJ010000016.1	42816	178979	136163	4	4	+	0	contig_end	contig_end	201806	3.0	44373.0	44297.0	45624.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000018.1:40780	HG03130#2#JBHDWJ010000018.1	40780	353148	312368	8	8	+	0	contig_end	flank	995424	7.0	44357.0	43484.0	45055.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000020.1:37735	HG03130#2#JBHDWJ010000020.1	37735	174702	136967	4	4	+	0	contig_end	contig_end	206779	3.0	45034.0	45028.0	45036.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000022.1:2336225	HG03130#2#JBHDWJ010000022.1	2336225	2338094	1869	1	1	+	0	flank+DJ	contig_end	2348472					
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000025.1:23337	HG03130#2#JBHDWJ010000025.1	23337	114555	91218	3	3	+	0	contig_end	contig_end	134032	2.0	44674.5	44673.0	44676.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000026.1:1553	HG03130#2#JBHDWJ010000026.1	1553	138457	136904	4	3	+	0	contig_end	contig_end	139530	3.0	45034.0	44964.0	45037.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000031.1:13223	HG03130#2#JBHDWJ010000031.1	13223	236954	223731	6	5	+	0	contig_end	contig_end	240280	5.0	44236.0	44188.0	44964.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000034.1:36107	HG03130#2#JBHDWJ010000034.1	36107	390713	354606	9	9	+	0	contig_end	contig_end	408430	8.0	44269.5	43554.0	44278.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000035.1:1594	HG03130#2#JBHDWJ010000035.1	1594	47653	46059	2	2	+	0	contig_end	contig_end	73124	1.0	44190.0	44190.0	44190.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000037.1:6541	HG03130#2#JBHDWJ010000037.1	6541	52630	46089	2	2	+	0	contig_end	contig_end	70508	1.0	44220.0	44220.0	44220.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000046.1:3486	HG03130#2#JBHDWJ010000046.1	3486	49545	46059	2	1	+	0	contig_end	contig_end	52080	1.0	44190.0	44190.0	44190.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000063.1:2900481	HG03130#2#JBHDWJ010000063.1	2900481	2902350	1869	1	1	+	0	flank+DJ	contig_end	2926888					
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000066.1:14491	HG03130#2#JBHDWJ010000066.1	14491	151180	136689	4	4	+	0	contig_end	contig_end	179784	3.0	44976.0	44866.0	44978.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000068.1:29804	HG03130#2#JBHDWJ010000068.1	29804	659785	629981	15	14	+	0	contig_end	contig_end	662251	14.0	44240.5	23647.0	65179.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000069.1:16943	HG03130#2#JBHDWJ010000069.1	16943	683884	666941	16	14	+	0	contig_end	contig_end	708535	15.0	44229.0	43978.0	44870.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000074.1:2739	HG03130#2#JBHDWJ010000074.1	2739	94669	91930	3	3	+	0	contig_end	contig_end	123632	2.0	45030.5	45027.0	45034.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000078.1:35861	HG03130#2#JBHDWJ010000078.1	35861	37731	1870	1	1	+	0	contig_end	contig_end	65373					
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000079.1:41927	HG03130#2#JBHDWJ010000079.1	41927	178367	136440	4	3	+	0	contig_end	contig_end	179428	3.0	44855.0	44850.0	44866.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000081.1:10452	HG03130#2#JBHDWJ010000081.1	10452	99276	88824	3	3	+	0	contig_end	contig_end	126311	2.0	43477.0	43476.0	43478.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000082.1:11343	HG03130#2#JBHDWJ010000082.1	11343	57416	46073	2	2	+	0	contig_end	contig_end	78801	1.0	44204.0	44204.0	44204.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000083.1:34905	HG03130#2#JBHDWJ010000083.1	34905	169450	134545	4	4	+	0	contig_end	contig_end	176907	3.0	44222.0	44222.0	44232.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000085.1:8421	HG03130#2#JBHDWJ010000085.1	8421	55316	46895	2	2	+	0	contig_end	contig_end	78488	1.0	45027.0	45027.0	45027.0	0.0
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000090.1:40336	HG03130#2#JBHDWJ010000090.1	40336	42205	1869	1	1	+	0	contig_end	contig_end	53829					
HG03130_hap2_hprc_r2_v1.0.1	HG03130#2#JBHDWJ010000091.1:16795	HG03130#2#JBHDWJ010000091.1	16795	63691	46896	2	2	+	0	contig_end	contig_end	71449	1.0	45027.0	45027.0	45027.0	0.0
