assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000014.1:129	HG03579#1#JAGYVU020000014.1	129	312455	312326	8	8	+	0	contig_end	flank	45109685	7.0	44853.0	39644.0	46496.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000015.1:12867	HG03579#1#JAGYVU020000015.1	12867	325666	312799	8	7	+	0	contig_end	flank	96102795	7.0	44308.0	43506.0	45615.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000016.1:7010	HG03579#1#JAGYVU020000016.1	7010	365560	358550	9	8	+	0	contig_end	flank	94171475	8.0	44656.0	44133.0	44897.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000018.1:6679	HG03579#1#JAGYVU020000018.1	6679	8548	1869	1	1	+	0	contig_end	flank	3726491					
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000021.1:26805	HG03579#1#JAGYVU020000021.1	26805	544519	517714	13	13	+	0	contig_end	flank	3539920	12.0	44579.5	40411.0	45096.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000022.1:24113	HG03579#1#JAGYVU020000022.1	24113	72893	48780	2	2	+	0	contig_end	contig_end	93814	1.0	46911.0	46911.0	46911.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000027.1:31968	HG03579#1#JAGYVU020000027.1	31968	302202	270234	7	7	+	0	contig_end	contig_end	316487	6.0	44862.0	44085.0	44930.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000029.1:12775	HG03579#1#JAGYVU020000029.1	12775	194983	182208	5	5	+	0	contig_end	contig_end	213098	4.0	44909.5	44902.0	45618.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000030.1:21199	HG03579#1#JAGYVU020000030.1	21199	201391	180192	5	5	+	0	contig_end	contig_end	229918	4.0	44661.5	44321.0	44679.0	0.0
HG03579_pat_hprc_r2_v1.0.1	HG03579#1#JAGYVU020000032.1:41106	HG03579#1#JAGYVU020000032.1	41106	87885	46779	2	2	+	0	contig_end	contig_end	105821	1.0	44910.0	44910.0	44910.0	0.0
