column	label	group	n_trios	R	R_single	R_mendel	spousal_r	slope	slope_se	r_mid	r_father	r_mother	error_cv	perm_null_sd	perm_p	sd_ratio	mean_ratio	R_rescaled	R_lo	R_hi	R_rescaled_lo	R_rescaled_hi	sd_ratio_lo	sd_ratio_hi	mean_ratio_lo	mean_ratio_hi	spousal_lo	spousal_hi	r_mid_lo	r_mid_hi	error_cv_max	parent_sd	child_minus_midparent_sd	parent_mean
rDNA45S.cn	45S, NGS-DOSE calibrated	rDNA	252	1.0735349353264625	1.0734212411499986	1.071458083938819	0.10013225520351264	1.0668419046697792	0.061310599311138685	0.7715950926325663	0.5798837328758163	0.5645666091048586	0.0	0.08750875741941408	0.000999000999000999	1.0261506607948945	1.0506060934023471	1.0436249291662842	0.9303287557988552	1.21421486856658	0.954095759695529	1.120989795391252	0.9313179339841048	1.1185805477152266	1.0328204223055155	1.069001961490736	-0.024543381239755642	0.23584972863371126	0.7145778076907259	0.819017197110038	0.058657310047204037	103.67819774324693	67.8709757209602	466.5434316076937
rDNA45S.cn_single	45S, NGS-DOSE single-sample	rDNA	252	1.0541372335766512	1.054074037498825	1.0786529008808108	0.10023854798899637	1.0492049962034167	0.06160287700877415	0.7686424859624769	0.5782695487864236	0.5619010976579433	0.0	0.08630287731072463	0.000999000999000999	1.0131405488380123	1.0437226305913834	1.039164847610578	0.9127439583226069	1.198683170740233	0.9498092250117753	1.119341948848731	0.9186152920739771	1.108906644865978	1.0254453814745745	1.061305192486168	-0.024616963658776327	0.23808009190156817	0.7112902262754084	0.8162227789721626	0.06574264636070097	103.10169849896911	66.92460614814084	463.2510280710376
rDNA45S.18S.flat	45S, 18S depth ratio (published)	rDNA	252	1.0608771538136248	1.0609746183398363	1.020197949113521	0.11272129362509824	1.0547101544316593	0.06244509951206793	0.7512848764175291	0.564212510527121	0.5565189839132519	0.0	0.08901740048390061	0.000999000999000999	1.0477212070468416	1.0668298626672519	1.007422538097737	0.9123719273323085	1.2024196364766053	0.9129390034439444	1.0892939619482862	0.9545171554943349	1.1438718076707468	1.0476786265885887	1.0866383876863783	-0.014764597190407387	0.24323953000432358	0.6862496677896792	0.8054154346073211	0.0666476706175001	119.08888397210157	82.49018457182439	528.9417893743317
rDNA5S.cn	5S, NGS-DOSE calibrated	rDNA	252	0.8991917097123048	0.9003961995623629	0.7925736997560622	0.07885093166795386	0.9065595743317004	0.11536134078552274	0.6220245235265724	0.44914585270560253	0.46451052633448503	0.07493772841345323	0.09225779302868149	0.000999000999000999	1.0706044921059927	1.0407304709522396	0.834691509627379	0.6554829599850742	1.1270238168024957	0.6410562789609723	0.9752641721789417	0.9425094082673234	1.2036327974596464	1.0171703701502193	1.06545535158579	-0.07371573682773995	0.21979398010032627	0.4945298572076946	0.725038981912844	0.13853443991766748	42.80796960835985	36.005200234333124	181.37283024085792
HSat1A.mass_Mb	HSat1A array	satellites	252	0.9530195957523377	0.9509249241773202	0.9338253383457381	-0.004312663504937248	0.952816107501137	0.07617909750957207	0.6669984480162355	0.5020727579651226	0.43725233231812377	0.03892025654166953	0.0905306257374882	0.000999000999000999	1.0089232701990474	0.986432921284848	0.9446288999024118	0.7994160747781713	1.0982405775817217	0.8376053484373576	1.0407326001108974	0.9159234718357216	1.1035812442041077	0.9699533248920825	1.0032520050552496	-0.12996790519427756	0.11685762566800494	0.5911134497887475	0.7321783203424124	0.08042024325624149	3.2194973698287477	2.4224972306453414	17.929606369918687
HSat1B.mass_Mb	HSat1B array	satellites	252	0.958721406403302	0.42749581803786907	0.5510481517451382	-0.24343106040874773	0.9454397458888553	0.2828468567965268	0.2412540168601465	0.2672499808917162	-0.07134770088348347	0.17138702144283188	0.24208883310693813	0.000999000999000999	1.0036883067180324	1.0101022956948544	0.9560928909858989	0.5188991358285105	1.383004574365145	0.5296794505556448	1.334843915690071	0.9634862345719273	1.040966111787871	0.905734505299846	1.1178817674815507	-0.37308382726502143	-0.11188415980271532	0.08947324091709911	0.375185019211795	0.5851046555023112	5.703680915626116	5.556192827873222	6.761448373407075
HSat2.mass_Mb	HSat2 array	satellites	252	1.1507470004399407	1.1507126570709487	0.8410619253618166	-0.024216201496410183	1.1544881157804816	0.07037584653456147	0.7074695803025327	0.5017771739788583	0.4864341280387666	0.0	0.10248355357600315	0.000999000999000999	1.1384094669224905	1.0208196633426894	1.0137817591238674	1.0158023463513044	1.283491522631017	0.9200222548752386	1.0998585795387112	1.0416063448971036	1.2333429094053137	1.0046906888049827	1.0371414642456207	-0.15124603155351787	0.1085217420156859	0.6372276444385497	0.7648287131254224	0.0	8.014927823308456	6.50611772049467	48.000848596211036
HSat3.mass_Mb	HSat3 array	satellites	252	0.7456846196342914	0.7163006595929329	0.6752503214932164	-0.051306999845859944	0.7319307928651436	0.12525279914066087	0.36916345750561447	0.3221312292029473	0.17189124039364162	0.08903609089688883	0.12843870833881574	0.000999000999000999	0.9670012540957216	1.0017004395775864	0.7693801324787329	0.49847872581411157	0.9824018318051233	0.5177124117070443	0.9983654149559124	0.8927049749776005	1.0415601928865021	0.9814689503950853	1.02048362442351	-0.17869617521695325	0.07685663425730914	0.23723910860408653	0.4826948128763397	0.12503294231983605	11.313773700729879	10.274686157951539	64.08076924741658
bSat.mass_Mb	bSat array	satellites	252	0.8960298253125561	0.9042194895188488	0.8692496195258722	0.03634668257634091	0.8996762604295933	0.0781200239929855	0.6334645500091485	0.45666086053580374	0.4572277957515887	0.04009604459364408	0.08927771085240127	0.000999000999000999	1.0221478145555496	1.008991086298452	0.8758271680269725	0.737446105121762	1.0501010006010951	0.7489789732342257	0.9871111968195676	0.9145603303208922	1.1254164331722276	0.9963951901548325	1.0216729895396608	-0.09253099310242263	0.16635645895767387	0.5409091723537345	0.7069440075447365	0.06371715529383791	1.317700315974556	1.0465148869153753	10.596672312499146
aSatHOR.mass_Mb	aSatHOR array	satellites	252	0.3261765159498283	0.3272773238694814	0.47384741920488604	0.016311594410234415	0.3369912458381512	0.09186253384733424	0.25513591154547144	0.14085541427482182	0.22346803865332704	0.05213767666865803	0.08410425655714246	0.000999000999000999	0.9298305718287068	0.9953498060046272	0.3520222942964878	0.11106676242041749	0.5302332090252433	0.12144385753483426	0.5524516478059802	0.8194804299281611	1.0481291380951068	0.9869647840840199	1.002630209512216	-0.131447468571076	0.1677189890762072	0.1106254785292487	0.38711698638053665	0.0598843273188843	9.08679391399841	9.204848592961412	143.06456394129762
